,Time,exchange,vol_total,vol_cny,vol_usd,vol_eur,vol_inr,vol_jpy,vol_krw,vol_sgd
11105,2010-07-29,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8332,2010-07-29,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19424,2010-07-29,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5560,2010-07-30,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22198,2010-07-30,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8333,2010-07-30,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32661,2010-07-30,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16652,2010-07-30,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38230,2010-07-30,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19425,2010-07-30,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2787,2010-07-30,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35438,2010-07-30,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11106,2010-07-30,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2010-07-30,mtgox,3020.85,0.0,3020.85,0.0,0.0,0.0,0.0,0.0
24971,2010-07-30,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13879,2010-07-30,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38231,2010-07-31,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24972,2010-07-31,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5561,2010-07-31,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2788,2010-07-31,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22199,2010-07-31,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19426,2010-07-31,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13880,2010-07-31,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35439,2010-07-31,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8334,2010-07-31,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2010-07-31,mtgox,4022.25,0.0,4022.25,0.0,0.0,0.0,0.0,0.0
11107,2010-07-31,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32662,2010-07-31,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16653,2010-07-31,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35440,2010-08-01,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16654,2010-08-01,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32663,2010-08-01,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5562,2010-08-01,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200,2010-08-01,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8335,2010-08-01,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19427,2010-08-01,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2010-08-01,mtgox,2601.0,0.0,2601.0,0.0,0.0,0.0,0.0,0.0
13881,2010-08-01,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2789,2010-08-01,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24973,2010-08-01,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38232,2010-08-01,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11108,2010-08-01,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35441,2010-08-02,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2010-08-02,mtgox,3599.0,0.0,3599.0,0.0,0.0,0.0,0.0,0.0
11109,2010-08-02,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22201,2010-08-02,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19428,2010-08-02,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38233,2010-08-02,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5563,2010-08-02,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2790,2010-08-02,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13882,2010-08-02,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32664,2010-08-02,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24974,2010-08-02,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16655,2010-08-02,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8336,2010-08-02,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38234,2010-08-03,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2791,2010-08-03,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13883,2010-08-03,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2010-08-03,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32665,2010-08-03,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
