Time,localbitcoins
2014-12-26 00:00:00 UTC,32.9184
2014-12-27 00:00:00 UTC,10.4639
2014-12-28 00:00:00 UTC,4.8572
2014-12-29 00:00:00 UTC,9.9995
2014-12-30 00:00:00 UTC,25.5563
2014-12-31 00:00:00 UTC,59.5798
2015-01-01 00:00:00 UTC,28.8852
2015-01-02 00:00:00 UTC,8.1022
2015-01-03 00:00:00 UTC,5.7747
2015-01-04 00:00:00 UTC,12.4827
2015-01-05 00:00:00 UTC,12.1877
2015-01-06 00:00:00 UTC,13.1661
2015-01-07 00:00:00 UTC,22.312
2015-01-08 00:00:00 UTC,13.5997
2015-01-09 00:00:00 UTC,7.8021
2015-01-10 00:00:00 UTC,9.7732
2015-01-11 00:00:00 UTC,17.2938
2015-01-12 00:00:00 UTC,82.1264
2015-01-13 00:00:00 UTC,49.5774
2015-01-14 00:00:00 UTC,22.0103
2015-01-15 00:00:00 UTC,7.9878
2015-01-16 00:00:00 UTC,21.4546
2015-01-17 00:00:00 UTC,8.2579
2015-01-18 00:00:00 UTC,12.7612
2015-01-19 00:00:00 UTC,13.7076
2015-01-20 00:00:00 UTC,47.182
2015-01-21 00:00:00 UTC,24.8927
2015-01-22 00:00:00 UTC,15.942
2015-01-23 00:00:00 UTC,30.0369
2015-01-24 00:00:00 UTC,33.8356
2015-01-25 00:00:00 UTC,6.0062
2015-01-26 00:00:00 UTC,10.684
2015-01-27 00:00:00 UTC,13.8486
2015-01-28 00:00:00 UTC,9.4524
2015-01-29 00:00:00 UTC,11.1854
2015-01-30 00:00:00 UTC,26.1481
2015-01-31 00:00:00 UTC,14.3861
2015-02-01 00:00:00 UTC,11.5428
2015-02-02 00:00:00 UTC,17.2339
2015-02-03 00:00:00 UTC,20.6092
2015-02-04 00:00:00 UTC,24.0277
2015-02-05 00:00:00 UTC,17.9904
2015-02-06 00:00:00 UTC,15.9377
2015-02-07 00:00:00 UTC,18.9938
2015-02-08 00:00:00 UTC,6.3738
2015-02-09 00:00:00 UTC,10.0514
2015-02-10 00:00:00 UTC,18.7478
2015-02-11 00:00:00 UTC,9.6232
2015-02-12 00:00:00 UTC,35.3152
2015-02-13 00:00:00 UTC,32.5484
2015-02-14 00:00:00 UTC,27.0642
2015-02-15 00:00:00 UTC,10.1178
2015-02-16 00:00:00 UTC,15.0151
2015-02-17 00:00:00 UTC,9.8815
2015-02-18 00:00:00 UTC,8.2563
2015-02-19 00:00:00 UTC,12.8693
2015-02-20 00:00:00 UTC,21.7835
2015-02-21 00:00:00 UTC,5.5759
2015-02-22 00:00:00 UTC,8.8191
2015-02-23 00:00:00 UTC,16.8107
2015-02-24 00:00:00 UTC,19.1595
2015-02-25 00:00:00 UTC,19.8089
2015-02-26 00:00:00 UTC,19.4614
2015-02-27 00:00:00 UTC,31.7205
2015-02-28 00:00:00 UTC,16.2817
2015-03-01 00:00:00 UTC,12.5415
2015-03-02 00:00:00 UTC,21.598
2015-03-03 00:00:00 UTC,34.5472
2015-03-04 00:00:00 UTC,18.5153
2015-03-05 00:00:00 UTC,32.6312
2015-03-06 00:00:00 UTC,39.1434
2015-03-07 00:00:00 UTC,17.1222
2015-03-08 00:00:00 UTC,4.6622
2015-03-09 00:00:00 UTC,45.0396
2015-03-10 00:00:00 UTC,42.1167
2015-03-11 00:00:00 UTC,22.7552
2015-03-12 00:00:00 UTC,29.9564
2015-03-13 00:00:00 UTC,27.4018
2015-03-14 00:00:00 UTC,33.8977
2015-03-15 00:00:00 UTC,8.6056
2015-03-16 00:00:00 UTC,28.7359
2015-03-17 00:00:00 UTC,13.6653
2015-03-18 00:00:00 UTC,19.4987
2015-03-19 00:00:00 UTC,25.0981
2015-03-20 00:00:00 UTC,13.8127
2015-03-21 00:00:00 UTC,4.6445
2015-03-22 00:00:00 UTC,9.2445
2015-03-23 00:00:00 UTC,17.0879
2015-03-24 00:00:00 UTC,18.9741
2015-03-25 00:00:00 UTC,19.2706
2015-03-26 00:00:00 UTC,4.9951
2015-03-27 00:00:00 UTC,15.1302
2015-03-28 00:00:00 UTC,15.1736
2015-03-29 00:00:00 UTC,5.009
2015-03-30 00:00:00 UTC,23.2293
2015-03-31 00:00:00 UTC,15.4059
2015-04-01 00:00:00 UTC,15.4145
2015-04-02 00:00:00 UTC,38.8258
2015-04-03 00:00:00 UTC,14.2167
2015-04-04 00:00:00 UTC,14.4715
2015-04-05 00:00:00 UTC,18.3936
2015-04-06 00:00:00 UTC,31.1197
2015-04-07 00:00:00 UTC,21.8456
2015-04-08 00:00:00 UTC,14.2824
2015-04-09 00:00:00 UTC,19.0168
2015-04-10 00:00:00 UTC,9.1954
2015-04-11 00:00:00 UTC,10.3292
2015-04-12 00:00:00 UTC,3.4497
2015-04-13 00:00:00 UTC,14.7069
2015-04-14 00:00:00 UTC,17.5176
2015-04-15 00:00:00 UTC,22.4812
2015-04-16 00:00:00 UTC,10.7254
2015-04-17 00:00:00 UTC,27.0435
2015-04-18 00:00:00 UTC,23.3273
2015-04-19 00:00:00 UTC,8.5575
2015-04-20 00:00:00 UTC,24.7934
2015-04-21 00:00:00 UTC,39.3481
2015-04-22 00:00:00 UTC,91.3844
2015-04-23 00:00:00 UTC,14.2335
2015-04-24 00:00:00 UTC,18.9107
2015-04-25 00:00:00 UTC,20.5979
2015-04-26 00:00:00 UTC,8.5709
2015-04-27 00:00:00 UTC,34.7905
2015-04-28 00:00:00 UTC,16.7142
2015-04-29 00:00:00 UTC,27.3066
2015-04-30 00:00:00 UTC,7.4843
2015-05-01 00:00:00 UTC,22.5651
2015-05-02 00:00:00 UTC,27.3844
2015-05-03 00:00:00 UTC,27.0262
2015-05-04 00:00:00 UTC,45.7647
2015-05-05 00:00:00 UTC,28.8261
2015-05-06 00:00:00 UTC,27.3314
2015-05-07 00:00:00 UTC,12.4607
2015-05-08 00:00:00 UTC,24.9696
2015-05-09 00:00:00 UTC,7.91
2015-05-10 00:00:00 UTC,21.4085
2015-05-11 00:00:00 UTC,15.0844
