,Time,mining level,exchange,price_usd
21090,2016-02-29,163491654908.959,gemini,436.146114004819
21091,2016-02-29,163491654908.959,hitbtc,443.639821499014
21092,2016-02-29,163491654908.959,kraken,436.37567659916397
21093,2016-02-29,163491654908.959,others,434.735299628649
21095,2016-03-01,163491654908.959,itbit,432.774883158794
21096,2016-03-01,163491654908.959,bitfinex,435.416948674433
21097,2016-03-01,163491654908.959,cex.io,437.174202504003
21098,2016-03-01,163491654908.959,exmo,434.273876429733
21099,2016-03-01,163491654908.959,coinbase,433.422223193673
21100,2016-03-01,163491654908.959,gemini,432.95655741603895
21101,2016-03-01,163491654908.959,hitbtc,434.250773542273
21102,2016-03-01,163491654908.959,kraken,432.460278960597
21103,2016-03-01,163491654908.959,others,434.17782384723375
21105,2016-03-02,163491654908.959,itbit,430.106243138186
21106,2016-03-02,163491654908.959,bitfinex,430.922936261454
21107,2016-03-02,163491654908.959,cex.io,437.480595680739
21108,2016-03-02,163491654908.959,exmo,432.590697830264
21109,2016-03-02,163491654908.959,coinbase,430.74898593024
21110,2016-03-02,163491654908.959,gemini,429.55515837753
21111,2016-03-02,163491654908.959,hitbtc,437.26832141407897
21112,2016-03-02,163491654908.959,kraken,428.24048705100404
21113,2016-03-02,163491654908.959,others,432.9152739976875
21115,2016-03-03,163491654908.959,itbit,419.70258814160695
21116,2016-03-03,163491654908.959,bitfinex,420.924069886196
21117,2016-03-03,163491654908.959,cex.io,427.011720197386
21118,2016-03-03,163491654908.959,exmo,421.82409917850896
21119,2016-03-03,163491654908.959,coinbase,418.192894065343
21120,2016-03-03,163491654908.959,gemini,418.689282869406
21121,2016-03-03,163491654908.959,hitbtc,427.255374687666
21122,2016-03-03,163491654908.959,kraken,420.54940729062304
21123,2016-03-03,163491654908.959,others,419.5226638417568
21125,2016-03-04,163491654908.959,itbit,418.24492163214205
21126,2016-03-04,163491654908.959,bitfinex,419.119865376765
21127,2016-03-04,163491654908.959,cex.io,424.881212216536
21128,2016-03-04,163491654908.959,exmo,418.972703291974
21129,2016-03-04,163491654908.959,coinbase,417.414024400778
21130,2016-03-04,163491654908.959,gemini,416.670522723758
21131,2016-03-04,163491654908.959,hitbtc,426.077497212932
21132,2016-03-04,163491654908.959,kraken,419.055005661668
21133,2016-03-04,163491654908.959,others,417.68574470717033
21135,2016-03-05,158427203767.392,itbit,401.015505510662
21136,2016-03-05,158427203767.392,bitfinex,402.700222537787
21137,2016-03-05,158427203767.392,cex.io,410.965590683775
21138,2016-03-05,158427203767.392,exmo,403.655645919051
21139,2016-03-05,158427203767.392,coinbase,398.02171479526
21140,2016-03-05,158427203767.392,gemini,398.839250750789
21141,2016-03-05,158427203767.392,hitbtc,419.722895394737
21142,2016-03-05,158427203767.392,kraken,400.84792473141897
21143,2016-03-05,158427203767.392,others,403.79568067522973
21145,2016-03-06,158427203767.392,itbit,401.535849581152
21146,2016-03-06,158427203767.392,bitfinex,402.655624029456
21147,2016-03-06,158427203767.392,cex.io,410.730528912435
21148,2016-03-06,158427203767.392,exmo,404.11193522638297
21149,2016-03-06,158427203767.392,coinbase,401.769479450763
21150,2016-03-06,158427203767.392,gemini,394.93247391067496
21151,2016-03-06,158427203767.392,hitbtc,421.01556862745105
21152,2016-03-06,158427203767.392,kraken,400.49811518457904
21153,2016-03-06,158427203767.392,others,406.1993411797484
21155,2016-03-07,158427203767.392,itbit,408.868884768394
21156,2016-03-07,158427203767.392,bitfinex,408.328883940211
21157,2016-03-07,158427203767.392,cex.io,415.52573962033205
21158,2016-03-07,158427203767.392,exmo,408.80069835329397
21159,2016-03-07,158427203767.392,coinbase,407.325297583121
21160,2016-03-07,158427203767.392,gemini,405.886861074223
21161,2016-03-07,158427203767.392,hitbtc,421.860488562092
21162,2016-03-07,158427203767.392,kraken,405.75335590566704
21163,2016-03-07,158427203767.392,others,409.57684509390566
21165,2016-03-08,158427203767.392,itbit,411.70792447020597
21166,2016-03-08,158427203767.392,bitfinex,411.820978997297
21167,2016-03-08,158427203767.392,cex.io,417.589354663862
21168,2016-03-08,158427203767.392,exmo,410.546030515055
21169,2016-03-08,158427203767.392,coinbase,411.961573113155
21170,2016-03-08,158427203767.392,gemini,411.21212557590303
21171,2016-03-08,158427203767.392,hitbtc,424.881632996633
21172,2016-03-08,158427203767.392,kraken,410.90781886210897
21173,2016-03-08,158427203767.392,others,408.2534042680665
21175,2016-03-09,158427203767.392,itbit,411.025674592037
21176,2016-03-09,158427203767.392,bitfinex,410.96385376645
21177,2016-03-09,158427203767.392,cex.io,416.291653121428
21178,2016-03-09,158427203767.392,exmo,410.042213207456
21179,2016-03-09,158427203767.392,coinbase,411.31059326455704
21180,2016-03-09,158427203767.392,gemini,410.31881835660596
21181,2016-03-09,158427203767.392,hitbtc,423.41517948717996
21182,2016-03-09,158427203767.392,kraken,410.40436798585097
21183,2016-03-09,158427203767.392,others,413.438353593089
21185,2016-03-10,158427203767.392,itbit,413.00996840001096
21186,2016-03-10,158427203767.392,bitfinex,413.77925039006203
21187,2016-03-10,158427203767.392,cex.io,418.036834918892
21188,2016-03-10,158427203767.392,exmo,412.491467078611
21189,2016-03-10,158427203767.392,coinbase,413.469845337188
21190,2016-03-10,158427203767.392,gemini,412.09052257960195
21191,2016-03-10,158427203767.392,hitbtc,424.658888888889
21192,2016-03-10,158427203767.392,kraken,413.058126855615
21193,2016-03-10,158427203767.392,others,413.49335793939315
21195,2016-03-11,158427203767.392,itbit,419.071601852845
21196,2016-03-11,158427203767.392,bitfinex,420.291986841092
21197,2016-03-11,158427203767.392,cex.io,422.847273347054
21198,2016-03-11,158427203767.392,exmo,418.457186234573
21199,2016-03-11,158427203767.392,coinbase,418.650678849361
21200,2016-03-11,158427203767.392,gemini,418.34775093971604
21201,2016-03-11,158427203767.392,hitbtc,427.07860317460296
21202,2016-03-11,158427203767.392,kraken,419.828173444668
21203,2016-03-11,158427203767.392,others,419.7251549901943
21205,2016-03-12,158427203767.392,itbit,413.30225441719904
21206,2016-03-12,158427203767.392,bitfinex,412.97658755365995
21207,2016-03-12,158427203767.392,cex.io,418.871664559474
21208,2016-03-12,158427203767.392,exmo,413.25562041627603
21209,2016-03-12,158427203767.392,coinbase,413.708739296205
21210,2016-03-12,158427203767.392,gemini,412.820757045179
21211,2016-03-12,158427203767.392,hitbtc,431.905
21212,2016-03-12,158427203767.392,kraken,411.149839776175
21213,2016-03-12,158427203767.392,others,413.0062887639026
21215,2016-03-13,158427203767.392,itbit,412.64575435249395
21216,2016-03-13,158427203767.392,bitfinex,412.57241202090205
21217,2016-03-13,158427203767.392,cex.io,418.843711670131
21218,2016-03-13,158427203767.392,exmo,412.289884043656
21219,2016-03-13,158427203767.392,coinbase,413.060859662182
21220,2016-03-13,158427203767.392,gemini,410.313336843966
21221,2016-03-13,158427203767.392,hitbtc,428.9025
21222,2016-03-13,158427203767.392,kraken,409.749156613262
21223,2016-03-13,158427203767.392,others,412.11767577029434
21225,2016-03-14,158427203767.392,itbit,413.53231071433294
21226,2016-03-14,158427203767.392,bitfinex,414.52714828797997
21227,2016-03-14,158427203767.392,cex.io,419.087016766645
